id,title,genres,averageRating,numVotes,releaseYear
tt0903747,"Breaking Bad","Crime, Drama, Thriller",9.5,2222701,2008
tt5491994,"Planet Earth II",Documentary,9.5,161347,2016
tt0185906,"Band of Brothers","Drama, History, War",9.4,543177,2001
tt0795176,"Planet Earth","Documentary, Family",9.4,222871,2006
tt5152226,"Tree of Life",Drama,9.4,11663,2014
tt7366338,Chernobyl,"Drama, History, Thriller",9.3,901038,2019
tt0306414,"The Wire","Crime, Drama, Thriller",9.3,388754,2002
tt0417299,"Avatar: The Last Airbender","Action, Adventure, Animation",9.3,387280,2005
tt30263074,"Sapne Vs Everyone",Drama,9.3,70756,2023
tt6769208,"Blue Planet II",Documentary,9.3,48161,2017
tt0081846,Cosmos,Documentary,9.3,45192,1980
tt7678620,Bluey,"Animation, Family",9.3,32377,2018
tt9002164,"BB Ki Vines",Comedy,9.3,11249,2015
tt0944947,"Game of Thrones","Action, Adventure, Drama",9.2,2357147,2011
tt0141842,"The Sopranos","Crime, Drama",9.2,494533,1999
tt14392248,Aspirants,Drama,9.2,313493,2021
tt12392504,"Scam 1992: The Harshad Mehta Story","Biography, Crime, Drama",9.2,160153,2020
tt2395695,"Cosmos: A Spacetime Odyssey",Documentary,9.2,130618,2014
tt9253866,"Our Planet",Documentary,9.2,53065,2019
tt9471404,"The Chosen","Drama, History",9.2,50743,2017
tt4202274,"The Filthy Frank Show","Comedy, Short",9.2,33569,2011
tt0071075,"The World at War","Documentary, History, War",9.2,30464,1973
tt9861270,"Çilgin Dersane at the University",Comedy,9.2,11630,2014
tt1475582,Sherlock,"Crime, Drama, Mystery",9.1,1021536,2010
tt2861424,"Rick and Morty","Adventure, Animation, Comedy",9.1,623830,2013
tt2560140,"Attack on Titan","Action, Adventure, Animation",9.1,553009,2013
tt1355642,"Fullmetal Alchemist: Brotherhood","Action, Adventure, Animation",9.1,206741,2009
tt8420184,"The Last Dance","Biography, Documentary, History",9.1,158286,2020
tt1831164,"Leyla and Mecnun","Adventure, Comedy, Drama",9.1,97243,2011
tt28227737,"Sandeep Bhaiya",Drama,9.1,75822,2023
tt4742876,"TVF Pitchers","Comedy, Drama",9.1,73273,2015
tt1533395,Life,Documentary,9.1,43339,2009
tt1877514,"The Vietnam War","Documentary, History, War",9.1,28812,2017
tt10530900,Gullak,"Comedy, Drama, Family",9.1,24301,2019
tt7450814,Koombiyo,"Crime, Drama, Thriller",9.1,18024,2017
tt9471962,Halka,"Action, Crime, Drama",9.1,17852,2019
tt4834232,"Critical Role","Adventure, Fantasy",9.1,13484,2015
tt13854248,"The Legend of Hanuman","Action, Adventure, Animation",9.1,12781,2021
tt7923710,"My Mister","Drama, Family",9.1,10420,2018
tt0386676,"The Office",Comedy,9,741621,2005
tt3032476,"Better Call Saul","Crime, Drama",9,684501,2015
tt11126994,Arcane,"Action, Adventure, Animation",9,291770,2021
tt0388629,"One Piece","Action, Adventure, Animation",9,264148,1999
tt2098220,"Hunter x Hunter","Action, Adventure, Animation",9,146480,2011
tt0103359,"Batman: The Animated Series","Action, Adventure, Animation",9,121218,1992
tt12004706,Panchayat,"Comedy, Drama",9,97679,2020
tt0052520,"The Twilight Zone","Drama, Fantasy, Horror",9,96147,1959
tt9432978,"Kota Factory","Comedy, Drama",9,85352,2019
tt10541088,"Clarkson's Farm","Comedy, Documentary, Reality-TV",9,65321,2021
tt0081912,"Only Fools and Horses",Comedy,9,57835,1981
tt7920978,Persona,"Crime, Drama, Mystery",9,48594,2018
tt21279678,"NCR Days",Drama,9,43883,2022
tt14986406,"Bleach: Thousand-Year Blood War","Action, Adventure, Animation",9,43710,2022
tt0296310,"The Blue Planet",Documentary,9,43401,2001
tt2092588,"Frozen Planet",Documentary,9,33486,2011
tt1806234,"Human Planet",Documentary,9,28096,2011
tt8595766,"Yeh Meri Family","Comedy, Drama, Family",9,26256,2018
tt0268093,Ramayan,"Adventure, Drama, Family",9,24626,1987
tt13675832,"As If",Comedy,9,24419,2021
tt4934214,Taskmaster,"Comedy, Game-Show",9,21323,2015
tt0098769,"The Civil War","Documentary, History, War",9,19095,1990
tt1508238,"Apocalypse: The Second World War","Documentary, History, War",9,14658,2009
tt5182866,"Reply 1988","Comedy, Drama, Family",9,13258,2015
tt3212600,Mahabharat,"Drama, History, War",9,12112,2013
tt0108778,Friends,"Comedy, Romance",8.9,1113175,1994
tt2356777,"True Detective","Crime, Drama, Mystery",8.9,674266,2014
tt2802850,Fargo,"Crime, Drama, Thriller",8.9,431543,2014
tt0877057,"Death Note","Animation, Crime, Drama",8.9,397593,2006
tt0098904,Seinfeld,Comedy,8.9,359177,1989
tt0303461,Firefly,"Adventure, Drama, Sci-Fi",8.9,285358,2002
tt1865718,"Gravity Falls","Adventure, Animation, Comedy",8.9,144954,2012
tt0213338,"Cowboy Bebop","Action, Adventure, Animation",8.9,144924,1998
tt0200276,"The West Wing",Drama,8.9,87815,1999
tt2297757,"Nathan for You","Comedy, Documentary",8.9,40177,2013
